Module Code,Title,Credits
MG5003,FUTURES MINDSET AND COMPETENCE PORTFOLIO ,9
MG5012,COMPARATIVE PUBLIC MANAGEMENT ,6
MG5013,STRATEGIC FORESIGHT AND SYSTEMS CHANGE ,12
MG5022,DIGITAL ENVIRONMENTAL AUDIT ,6
MG5023,DESIGNING MARKET FUTURES ,9
MG5101,MANAGEMENT IN TOURISM ENTERPRISES ,6
MG5102,MANAGEMENT ,6
MG6003,CORPORATE STRATEGIC ANALYSIS ,6
MG6004,IMPLEMENTING STRATEGY ,6
MG6011,WOMEN WORK EDUCATION AND MANAGEMENT ,6
MG6012,GLOBAL BUSINESS STRATEGY ,9
MG6013,CORPORATE SOCIAL RESPONSIBILITY AND SUSTAINABLE ,3
MG6014,STRATEGIC LEADERSHIP ,6
MG6021,INTERNATIONAL AND CROSS CULTURAL MANAGEMENT ,6
MG6022,INTERNATIONAL BUSINESS STUDY TRIP ,3
MG6023,MSc RESEARCH PAPER ,30
MG6024,THE STRATEGIC MANAGEMENT OF PROJECTS: SCIENCE AND ,6
MG6031,INFORMATION MANAGEMENT ,6
MG6032,GLOBAL BUSINESS STRATEGY ,6
MG6033,MSc RESEARCH PAPER ,24
MG6041,DIGITAL AND SOCIAL MEDIA MARKETING ,6
MG6042,DIGITAL INNOVATION AND TRANSFORMATION ,6
MG6043,MSC RESEARCH PAPER ,21
MG6051,DECISION MAKING AND BUSINESS INTELLIGENCE ,6
MG6052,SEMINAR SERIES IN DIGITAL BUSINESS ,9
MG6053,DIGITAL BUSINESS DISSERTATION B ,15
MG6061,E-BUSINESS TECHNOLOGY ,6
MG6062,DIGITAL BUSINESS DISSERTATION A ,15
MG6063,THESIS PROPOSAL PREPARATION ,6
MG6072,MINING SOCIAL DATA ,6
MG6081,THESIS 1 (SUPPLY CHAIN OPERATIONS) ,12
MG6082,MANAGING IN THE INTERNATIONAL CONTEXT ,6
MG6092,INTERNATIONAL WORKSHOP ,3
MG6103,BUSINESS SIMULATION1 ,12
MG6111,MANAGEMENT PRINCIPLES ,6
MG6113,MA CONFIRMATION PAPER ,18
MG6121,ADVANCED SUPPLY CHAIN RISK ASSESSMENT AND ,6
MG6122,STRATEGIC MANAGEMENT ,6
MG6303,INTERNATIONAL WORKSHOP ,3
MG6902,STRATEGIC MANAGEMENT ,6
MI4001,BUSINESS INFORMATION MANAGEMENT 1 ,6
MI4002,BUSINESS INFORMATION MANAGEMENT 2 ,6
